model_year,brand,model,type,miles_per_gallon,premium_version,msrp,collection_car,,,,,
2016,Toyota,Land Cruiser Base,SUV,13,1,84900,0,,,,,
2014,RAM,ProMaster 2500 Window Van High Roof,Van,15,0,35000,0,,,,,Descriptive statistics:
2002,Ford,Mustang GT,Coupe,16,0,26250,0,,,,,"The Pie Graph shows 1000 cars Model year of which it was created, it ranges"
2012,BMW,428 Gran Coupe i xDrive,Sedan,27,1,45000,0,,,,,"from 2007 - 2020, 2007 has 2.9%, 2011 5.3%, 2014 - 4.9%"
2008,Mercedes-Benz,SL-Class SL500 Roadster,Convertible,18,1,100000,1,,,,,"2015 - 6.2%, 2016 - 6%, 2017 - 6.4 %, 2018 - 9.8%, 2019 - 8.1%"
2008,Lexus,RX 350 Base,SUV,18,0,38000,0,,,,,"2020 - 7.8%, 2021 - 8.6% ,2022 - 7.3%, and lastly 2023 - 4.5%. "
2013,Chevrolet,Express 2500 Work Van,Van,12,0,30000,0,,,,,This totals to 100% of the 1000 cars.
2021,Mercedes-Benz,AMG G 63 Base,SUV,13,1,157000,1,,,,,The year that created a lot of cars is at 2018 which stands at 9.8%
2014,Ford,F-150 XLT,Pickup,17,0,31000,0,,,,,The year that created less cars is at 2007 which stands at 2.9%
2017,Ford,Fusion SE,Sedan,23,0,23000,0,,,,,
2016,Audi,A7 3.0T Premium Plus,Sedan,25,1,68900,0,,,,,
2019,Chevrolet,Impala 1LT,Sedan,28,0,33995,0,,,,,
2020,Lexus,LC 500 Base,Coupe,19,0,92600,0,,,,,Descriptive statistics:
2013,Audi,S3 2.0T Premium Plus,Sedan,22,1,39400,0,,,,,"The Pie Graph shows 1000 car brands, totaling of 12 brands, "
2023,Porsche,911 Carrera S,Coupe,22,1,116000,1,,,,,The most popular brand is ford which is at 11.2 %
2018,Ford,Transit Connect XL,Minivan,24,0,23460,0,,,,,The least popular is Dodge which is only at 2.3%
2018,Audi,A6 2.0T Premium Plus,Sedan,25,1,62000,0,,,,,
2017,Genesis,G80 3.3T Sport,Sedan,20,1,60500,0,,,,,
2021,Ford,F-250 Lariat,Pickup,20,1,55000,0,,,,,
2004,Hummer,H2 Base,SUV,10,0,50000,0,,,,,
2022,Mazda,RX 350 Base,SUV,25,0,45000,0,,,,,
2020,Land,Rover Defender SE,SUV,17,1,57900,0,,,,,
2016,Mercedes-Benz,G-Class G 550 4MATIC,SUV,13,1,123600,1,,,,,
2008,Honda,Pilot EX-L,SUV,18,0,32000,0,,,,,
2022,Ford,Expedition Limited,SUV,20,1,67535,0,,,,,Descriptive statistics:
2015,Land,Rover LR2 Base,SUV,22,0,36450,0,,,,,"The Pie Graph shows 1000 cars type, totaling of 7 types "
2016,Ford,F-150 Lariat,Pickup,18,1,40000,0,,,,,The most car type is the SUV which is at 38.5% out of the 1000 cars
2009,Toyota,FJ Cruiser Base,SUV,17,0,24000,0,,,,,The least car type is the Van which is only at 0.6% out of the 1000 cars
2014,Jeep,Wrangler Sport,SUV,21,0,23945,0,,,,,
2013,Porsche,911 Carrera S,Coupe,20,1,100000,1,,,,,
2011,BMW,M3 Base,Coupe,14,1,61900,1,,,,,
2018,Chevrolet,Colorado Z71,Pickup,20,1,35000,0,,,,,
2022,Jaguar,F-PACE S,SUV,21,1,75000,0,,,,,
2018,RAM,3500 Tradesman,Pickup,12,0,35000,0,,,,,
2016,Mercedes-Benz,S-Class S 63 AMG,Sedan,19,1,143000,1,,,,,
